             0            1       2     3     4    5        6        7        8        9              10      11
41  NC_003143.1  NC_003902.1  93.827    81     4    1  4221598  4221678  4948894  4948973   1.620000e-20   110.0
42  NC_003143.1  NC_003902.1  88.043    92    10    1  1164794  1164885  2988094  2988184   1.320000e-18   103.0
43  NC_003143.1  NC_003902.1  90.361    83     6    2    13941    14022  2536393  2536474   1.190000e-17   100.0
44  NC_003143.1  NC_003902.1  90.361    83     6    2  4388003  4388084  2536474  2536393   1.190000e-17   100.0
45  NC_003143.1  NC_003902.1  90.361    83     6    2  1219154  1219235  2536393  2536474   1.190000e-17   100.0
46  NC_003143.1  NC_003902.1  92.208    77     6    0  1165009  1165085  2988108  2988184   1.190000e-17   100.0
47  NC_003143.1  NC_003902.1  92.105    76     6    0  3909002  3909077  2988109  2988184   3.580000e-17    99.1
48  NC_003143.1  NC_003902.1  85.714    98     9    5    13924    14020  2537337  2537430   1.080000e-16    98.3
49  NC_003143.1  NC_003902.1  85.714    98     9    5  4388005  4388101  2537430  2537337   1.080000e-16    98.3
50  NC_003143.1  NC_003902.1  85.714    98     9    5  1219137  1219233  2537337  2537430   1.080000e-16    98.3
51  NC_003143.1  NC_003902.1  89.024    82     9    0  2108507  2108588  1128320  1128401   3.230000e-16    96.7
52  NC_003143.1  NC_003902.1  85.263    95    11    2  4211490  4211583  4663775  4663867   9.720000e-16    95.1
53  NC_003143.1  NC_003902.1  88.750    80     8    1  1384460  1384539  4663854  4663776   2.920000e-15    92.7
54  NC_003143.1  NC_003902.1  87.500    80     9    1  3332616  3332694  1128399  1128320   7.920000e-14    88.7
55  NC_003143.1  NC_003902.1  66.929   381   102   18   378352   378720  2557449  2557081   7.920000e-14    87.9
56  NC_003143.1  NC_003902.1  88.158    76     9    0  1273048  1273123  1128320  1128395   2.380000e-13    87.2
57  NC_003143.1  NC_003902.1  88.158    76     9    0  1273151  1273226  1128320  1128395   2.380000e-13    87.2
58  NC_003143.1  NC_003902.1  87.013    77    10    0  2946109  2946185   578653   578729   7.140000e-13    84.8
59  NC_003143.1  NC_003902.1  87.013    77    10    0  2946414  2946490   578653   578729   7.140000e-13    84.8
60  NC_003143.1  NC_003902.1  84.146    82     8    4   348754   348832  2888678  2888757   1.750000e-10    76.8
61  NC_003143.1  NC_003902.1  84.146    82     8    4  1063925  1064003  2888757  2888678   1.750000e-10    76.8
62  NC_003143.1  NC_003902.1  89.474    57     4    1  2946231  2946285  1032404  1032348   1.280000e-07    67.3
63  NC_003143.1  NC_003902.1  80.247    81    14    2  3148436  3148515   601755   601676   3.860000e-07    65.7
